обед;полноценный,поздний,неспешный,ранний,деловой,сытный,воскресный,плотный,комплексный,будничный
прибор;дорогой,лишний,чистый,тонкий,отличный,рыбный,европейский,новый,столовый,хороший
выбор;широкий,ограниченный,своём,богатый,скудный,правильный,большой,обширный,мучительный,удачный
смысл;здравый,переносный,возможный,плохой,буквальный,широкий,лучший,каком-то,прямой,хороший
компания;веселый,шумный,разношерстный,тесный,мужской,подвыпивший,кейтеринговый,девичий,девчачий,дружный
лапша;китайский,яичный,стеклянный,прозрачный,овощной,широкий,рисовый,гречневый,хрустальный,домашний
овощ;бакинский,тушеный,свежий,полусырый,печёных,сезонный,поструганный,припущенный,порубленный,печеный
отзыв;разгромный,лестный,нелестный,хвалебный,предидущий,восхищенный,негативный,восторженный,отрицательный,предыдущий
рыба;фаршированный,замороженный,сырой,консервированный,летучий,свежевыловленный,речной,тухлый,озерный,паровой
программа;обязательный,вечерний,концертный,обещанный,музыкальный,культурный,новогодний,праздничный,насыщенный,развлекательный
котлетка;нежный,щучий,крабовый,картофельный,рыбный,бараний,сочный,куриный,свиной,домашний
администратор;компетентный,любезный,старший,уважаемый,приветливый,отзывчивый,хамоватый,дружелюбный,вежливый,неприветливый
заведение;открывшийся,существующий,местечковый,специализированный,питейный,едальный,вышеуказанный,непрофильный,пивный,кавказкий
свет;приглушённый,уличный,дневной,неяркий,мягкий,божий,тусклый,яркий,естественный,приглушенный
ужин;полноценный,поздний,семейный,ранний,деловой,романтический,романтичный,плотный,неспешный,вечерний
кусочек;тоненький,обжаренный,подсушенный,малюсенький,жалкий,прожаренный,треугольный,крошечный,крохотный,ровный
кусок;цельный,здоровенный,пресный,съедобный,прожаренный,сочный,внушительный,толстенький,толстый,крупный
позиция;провальный,жизненный,лишний,популярный,удачный,стандартный,дорогой,интересный,знакомый,дешевый
музыка;орущий,живой,фортепианный,живая,гитарный,инструментальный,фоновый,громкий,мелодичный,негромкий
тон;тёплые,бежевый,светлый,приглушенный,дурной,коричневый,хамский,спокойный,пастельный,повышенный
столик;козырный,забронированный,двухместный,соседний,свободный,занятый,угловой,низенький,журнальный,зарезервированный
предложение;банкетный,осенний,интересный,дневной,заманчивый,сезонный,специальный,обеденный,алкогольный,летний
цена;разумный,умеренный,гуманный,приемлимый,приемлемый,заоблачный,невысокий,демократический,доступный,демократичный
повар;местный,старший,уважаемый,талантливый,шеф-,итальянский,знакомый,знаменитый,русский,здешний
зал;банкетный,некурящий,заполненный,зрительный,курящий,двухуровневый,корабельный,каминный,смежный,колонный
день;напряженный,погожий,сегодняшний,будний,волнительный,выходной,разгрузочный,предпраздничный,трудовой,добрый
официантка;опытный,любезный,милый,улыбчивый,расторопный,милейший,приветливый,девушки-,шустрый,молоденький
туалет;просторный,красивый,чистый,общественный,мужской,общий,женский,нормальный,грязный,шикарный
гость;частый,требовательный,приезжий,взыскательный,постоянный,благодарный,иностранный,желанный,привередливый,иногородний
мясо;рубленый,разваренный,крабовой,крабовый,полусырый,нежнейший,прожаренный,сочный,сырой,рубленный
булочка;свежий,горячий,заварный,теплый,французский,разный,хлебный,свежевыпеченный,аппетитный,свежайший
карта;скидочный,винный,банковский,дисконтный,коктейльный,десертный,обширный,клубный,кредитный,коктельный
вид;невозмутимый,внешний,грозный,первозданный,виноватый,панорамный,надлежащий,урбанистический,серьёзным,неопрятный
блюдо;недоеденный,диетический,самостоятельный,провальный,коронный,овальный,самодостаточный,несложный,рекомендованный,основной
сыр;голубой,жареный,творожный,тертый,козий,адыгейский,плавленый,двойной,тягучий,лососей
подача;эффектный,оригинальный,правильный,одновременный,необычный,симпатичный,интересный,красивый,быстрый,великолепный
слово;ключевой,умный,волшебный,правильный,добрый,кодовый,честный,лестный,емкий,лишний
шашлык;сухой,свиный,телячий,узбекский,бараний,сочный,куриный,обалденный,свиной,отменный
хлеб;магазинный,ржаной,чесночный,чёрного,зерновой,ржаный,насущный,свежевыпеченный,бородинский,свежеиспеченный
чай;байский,травяной,зеленый,марокканский,зелёный,ромашковый,пакетированный,чёрный,зелёного,жасминовый
вариант;приемлемый,идеальный,возможный,оптимальный,классический,альтернативный,бюджетный,беспроигрышный,запасной,различный
оформление;новогодний,изысканный,симпатичный,музыкальный,внутренний,душевный,красивый,внешний,цветочный,цветовой
решение;дизайнерский,оригинальный,смелый,волевой,неожиданный,интересный,правильный,быстрый,цветовой,интерьерный
официант;тактичный,пробегавший,расторопный,неопытный,вышколенный,находчивый,нерасторопный,кудрявый,услужливый,подоспевший
ресторан;открывшийся,пивной,элитный,кафе-,загородный,видовой,специализированный,шеф-повару,небезызвестный,прибрежный
масло;растительный,трюфельный,нерафинированный,прогорклый,политый,оливкий,кунжутный,арахисовый,подсолнечный,оливковый
заправка;малиновый,майонезный,уксусный,масляный,сладковатый,сметанный,йогуртовый,анчоусный,горчичный,кунжутный
что-то;невероятный,невразумительный,подобный,жесткий,новенький,вкусненький,невнятный,сложный,похожий,особенный
размер;нереальный,средний,точный,изрядный,невероятный,скромный,приличный,гигантский,достаточный,внушительный
продукт;натуральный,диетический,свежий,молочный,свежайший,дешевый,исходный,испорченный,качественный,фермерский
мороженое;шоколадный,ванильный,итальянский,вкусный,базиликовый,фисташковый,сливочный,растаявший,обычный,домашний
закуска;рыбный,холодный,оригинальный,легкий,горячий,пивной,мясной,разнообразный,аппетитный,различный
парковка;маленький,больший,охраняемый,большой,отдельный,бесплатный,небольшой,огромный,удобный,собственный
вещь;подобный,единственный,великий,классический,ценный,интересный,забытый,странный,потрясающий,простой
местечко;чудный,забавный,тихий,милый,неплохой,миленький,уютный,вообщий,укромный,славный
работа;плохой,командный,грамотный,слаженный,отличный,безупречный,профессиональный,ручной,авторский,организованный
еда;посредственный,добротный,потрясающий,вкусный,заказанный,вкуснейший,здоровый,невкусный,качественный,простой
цвет;фисташковый,оранжевый,чёрного,коричневый,серо-зеленого,естественный,серый,бурый,золотистый,желтый
стейк;говяжий,ужасный,классический,фирменный,рибай,сочный,перцовый,перечный,свиной,восхитительный
вино;подобранный,розовый,игристый,красный,азербайджанский,полусладкий,чилийский,черногорский,аргентинский,сицилийский
мебель;светлый,плетеный,деревянный,добротный,удобный,антикварный,разномастный,массивный,темный,комфортный
ресторанчик;европейский,итальянский,милый,загородный,уютный,семейный,тихий,неплохой,любимый,китайский
качество;вкусовый,вкусовой,низкий,надлежащий,стабильный,отменный,высочайший,сомнительный,исключительный,посредственный
салат;греческий,-зелёный,фруктово-овощной,листовой,тёплый,столичный,тосканский,овощной,тёплые,заветренный
курица;копченый,отличный,жаренный,жареный,нежный,сочный,мягкий,вареный,холодный,горячий
посуда;пустой,разбитый,неубранный,медный,красивый,неудобный,битый,грязный,глиняный,ненужный
сервис;доброжелательный,совковый,профессиональный,безупречный,ненавязчивый,качественный,отвратительный,внимательный,навязчивый,посредственный
идея;замечательный,отличный,удачный,классный,общий,интересный,хороший,новый,гениальный,неплохой
интерьер;средневековый,броский,помпезный,сдержанный,стилизованный,стильный,мрачный,элегантный,минималистичный,лаконичный
стол;сервированный,убранный,неубранный,зарезервированный,соседний,бильярдный,фуршетный,шведский,накрытый,круглый
клиент;бывший,постоянный,благодарный,потенциальный,корпоративный,очередной,последний,правый,новый,довольный
соус;кисло-сладкого,соевый,лаймовой,сливочно-чесночном,медово-соевом,сливочно-томатном,соевой,икорный,кисло-сладком,свекольно-апельсиновом
отношение;чуткий,трепетный,хамский,человеческий,свинский,внимательный,уважительный,бережный,халатный,неуважительный
вкус;непритязательный,какого-либо,сбалансированный,нейтральный,узнаваемый,выраженный,отчетливый,терпкий,насыщенный,солоноватый
настроение;новогодний,позитивный,плохой,благостный,благодушный,подпорченный,предпраздничный,хороший,испорченный,праздничный
друг;иностранный,многочисленный,приезжий,лучший,близкий,верный,дорогой,старый,московский,американский
название;незнакомый,причудливый,точный,интригующий,смешной,замысловатый,загадочный,кодовый,труднопроизносимый,затейливый
супчик;сырный,грибной,овощной,щавелевый,рыбный,тайский,наваристый,луковый,куриный,густой
котлета;щучий,киевский,телячий,вкусный,картофельный,рыбный,овощной,куриный,пожарский,домашний
креветка;обжаренный,жареный,тигровый,мелкий,коктейльный,королевский,сочный,салатный,резиновый,отвратительный
бульон;мясной,говяжий,прозрачный,рыбный,крепкий,наваристый,куриный,насыщенный,жирный,жидкий
уровень;низший,достойный,должный,прежний,такий,высокий,низкий,высочайший,высший,заявленный
напиток;хмельной,спиртной,крепкий,недопитый,прохладительный,газированный,алкогольный,горячительный,пенный,безалкогольный
начинка;шоколадный,нежный,творожный,овощной,ореховой,безвкусный,сочный,двойной,мясной,жидкий
голос;спокойный,красивый,милый,внутренний,мужской,полный,женский,громкий,прекрасный,сильный
порция;щедрый,мизерный,объемный,внушительный,больший,увесистый,двойной,микроскопический,крохотный,честной
комната;ванный,туалетный,дальний,кальянный,просторный,курительный,игровой,дамский,сигарный,детский
чувство;двойственный,противоречивый,смешанный,стадный,расстроенный,хороший,прекрасный,странный,легкий,сильный
